classification	sha256	source	sensitivity	generated	path
INCLUDE_EVIDENCE	70e3f482b9bb53fba7b560055a337e685845c47391db3135f421283c6f974e6b	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/README.md
EXCLUDE_GIT	51f267f998320922d3bba9a38033958db94eb84f759b142917d831e59ff8c4ef	local-generated-or-sensitive	exclude-git	mixed	docs/collaboration/scripts/__pycache__/agent_team_task.cpython-314.pyc
INCLUDE_EVIDENCE	b006dddce48aa4e5bc2cb33260a62d95e60240d179dea506e71d4409763e62bf	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/scripts/agent_team_log.py
INCLUDE_EVIDENCE	7253ce1d034c98d2a7f52df7f9b41d18a3c870226aede0228fb5db687c8a989f	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/scripts/agent_team_session.py
INCLUDE_EVIDENCE	bb8b4242bfa5570830b7fce221069eade9cf989fc06296ac805788e58195a616	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/scripts/agent_team_task.py
INCLUDE_EVIDENCE	b1fb0300a7137c18bd5664e338e67107536df9bf44327f82c31f5156e1814812	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/scripts/agent_team_temporary.py
INCLUDE_EVIDENCE	0bf1a9234380f2b8b0df919bfab69761a06448ebfb0f788abd5ecaabb6ecceaf	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260730-1C80CE.json
INCLUDE_EVIDENCE	dbc3a9ccde398260089e5a011c88cdca608c7637e2a5220b7a91ba7174a92bd9	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260730-393806.json
INCLUDE_EVIDENCE	e347fce911eb68d43770a0e1d291ebea8f39eb1ff46e21ca21bf775d336420df	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260730-C9AE43.json
INCLUDE_EVIDENCE	ce28267bb4c5a7628c8458675b2537a3a7c4243615c034fd95f3d71138613d80	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260730-D1F579.json
INCLUDE_EVIDENCE	df237060450a69ef11469ed63ea0c753919b6a6d550cd1f05574fd9468fdaa51	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260730-E2E459.json
INCLUDE_EVIDENCE	4391136a9b3dd8762522387e948880f1f00f0259d7de3dd20050ba27d1fc396f	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260730-F18AE4.json
INCLUDE_EVIDENCE	ee4c474e12fa83f9ccf20b04390e8bf8041bc2c318f72046df4ab81f88385801	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260731-2FD2F3.json
INCLUDE_EVIDENCE	36daac87a7db9c1a59bdcc9fbfba3cc3c107049abfaa3f993b3e8a156170285f	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260731-62E77D.json
INCLUDE_EVIDENCE	8fc70747e7506b0cb27b4e201f99662c2f64e41cf5731ef7f9b8a841f20c1882	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260731-85233C.json
INCLUDE_EVIDENCE	46729cebf36e167fde0bb17d92620e453ca814b2e5c574e744d59d538cd29933	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260731-8C8680.json
INCLUDE_EVIDENCE	bf9bff377b0a603501caf852c1de017aee587801866ea1f1fcf25544fbd0b451	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260731-8DE25C.json
INCLUDE_EVIDENCE	910b2819cac98998403185d27f879af63d402908b4b33e7f5d558b5ad8c1b4c9	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260731-BCDD29.json
INCLUDE_EVIDENCE	ee09363391aa63df56531c08d7b4ea93ea0bac8185a85ee9f10c0ec6c58bf7fb	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260731-FC8378.json
INCLUDE_EVIDENCE	d545126c1082c83e8c191c8dbee49f1f96bba800f5708273b547b9a6abdc8ed4	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260801-080C8A.json
INCLUDE_EVIDENCE	3e1d4be696532671af6a3592caf543ecf36377cff8f8f27491d69e7bd4382a18	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260801-08E045.json
INCLUDE_EVIDENCE	b0cba88e9d8825fdaf5707de41b5a84cf2d990d369663d6579456a1761000fcc	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260801-0A6CA0.json
INCLUDE_EVIDENCE	bdf239aac250d3c80eb9e53e2ae54a14fcacbaa97d5c3b71e58286a4413c5a91	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260801-24D860.json
INCLUDE_EVIDENCE	f2baed4b2ebf0827b357eae8bdd399731983ec831e66a0005b7232ffe13a71d6	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260801-2AA8FC.json
INCLUDE_EVIDENCE	42c9ec708538663cd9e7e6f6f3a00d69d58283980150018d8c3d8870d998a8ed	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260801-508D03.json
INCLUDE_EVIDENCE	f2bd43322af3a496df679901a2a08832ad39a68d9aa30a953bb3e5b4ce9e33ef	formal-task-or-report	reviewed-project-evidence	mixed	docs/collaboration/tasks/TASK-20260801-57E98D.json
